date,value,source,series_id
2003-07-01,69.0,ABS,RPPI/1.3.100.Q
2003-10-01,71.6,ABS,RPPI/1.3.100.Q
2004-01-01,71.3,ABS,RPPI/1.3.100.Q
2004-04-01,70.6,ABS,RPPI/1.3.100.Q
2004-07-01,70.6,ABS,RPPI/1.3.100.Q
2004-10-01,71.8,ABS,RPPI/1.3.100.Q
2005-01-01,71.7,ABS,RPPI/1.3.100.Q
2005-04-01,72.2,ABS,RPPI/1.3.100.Q
2005-07-01,72.1,ABS,RPPI/1.3.100.Q
2005-10-01,73.5,ABS,RPPI/1.3.100.Q
2006-01-01,74.3,ABS,RPPI/1.3.100.Q
2006-04-01,77.0,ABS,RPPI/1.3.100.Q
2006-07-01,78.4,ABS,RPPI/1.3.100.Q
2006-10-01,79.8,ABS,RPPI/1.3.100.Q
2007-01-01,80.5,ABS,RPPI/1.3.100.Q
2007-04-01,84.1,ABS,RPPI/1.3.100.Q
2007-07-01,87.1,ABS,RPPI/1.3.100.Q
2007-10-01,90.4,ABS,RPPI/1.3.100.Q
2008-01-01,90.8,ABS,RPPI/1.3.100.Q
2008-04-01,90.0,ABS,RPPI/1.3.100.Q
2008-07-01,88.0,ABS,RPPI/1.3.100.Q
2008-10-01,86.8,ABS,RPPI/1.3.100.Q
2009-01-01,86.6,ABS,RPPI/1.3.100.Q
2009-04-01,90.2,ABS,RPPI/1.3.100.Q
2009-07-01,94.0,ABS,RPPI/1.3.100.Q
2009-10-01,99.2,ABS,RPPI/1.3.100.Q
2010-01-01,102.3,ABS,RPPI/1.3.100.Q
2010-04-01,104.3,ABS,RPPI/1.3.100.Q
2010-07-01,103.0,ABS,RPPI/1.3.100.Q
2010-10-01,103.6,ABS,RPPI/1.3.100.Q
2011-01-01,102.7,ABS,RPPI/1.3.100.Q
2011-04-01,102.0,ABS,RPPI/1.3.100.Q
2011-07-01,100.2,ABS,RPPI/1.3.100.Q
2011-10-01,99.4,ABS,RPPI/1.3.100.Q
2012-01-01,100.0,ABS,RPPI/1.3.100.Q
2012-04-01,100.4,ABS,RPPI/1.3.100.Q
2012-07-01,100.2,ABS,RPPI/1.3.100.Q
2012-10-01,102.4,ABS,RPPI/1.3.100.Q
2013-01-01,103.1,ABS,RPPI/1.3.100.Q
2013-04-01,105.7,ABS,RPPI/1.3.100.Q
